strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,num_trades,years,final_equity
SMA50_200_RSI40_UPRO100_SHY_delay2_cautionTrue_vixNone,50,200,40,100,0,SHY,2,True,,74350.31,55.15,-65.05,1.1114,0.8478,192,15.1,74450305.99
SMA50_200_RSI40_UPRO100_cash_delay0_cautionTrue_vixNone,50,200,40,100,0,cash,0,True,,72060.11,54.83,-64.93,1.1073,0.8445,193,15.1,72160109.23
SMA50_200_RSI40_UPRO100_cash_delay2_cautionTrue_vixNone,50,200,40,100,0,cash,2,True,,72232.0,54.85,-64.14,1.1073,0.8552,192,15.1,72332003.57
SMA100_200_RSI50_UPRO75_SHY_delay2_cautionTrue_vix35,100,200,50,75,25,SHY,2,True,35.0,5541316.96,106.57,-36.7,1.1036,2.9043,399,15.1,5541416964.62
SMA50_200_RSI50_UPRO75_TLT_delay0_cautionTrue_vix35,50,200,50,75,25,TLT,0,True,35.0,5418411.5,106.27,-55.94,1.1017,1.8996,390,15.1,5418511499.19
SMA100_200_RSI50_UPRO75_cash_delay2_cautionTrue_vix35,100,200,50,75,25,cash,2,True,35.0,5155002.2,105.59,-36.33,1.0974,2.9064,399,15.1,5155102195.94
SMA50_200_RSI50_UPRO75_TLT_delay2_cautionTrue_vix35,50,200,50,75,25,TLT,2,True,35.0,5120833.89,105.49,-54.59,1.0969,1.9326,390,15.1,5120933890.66
SMA100_200_RSI50_UPRO75_SHY_delay0_cautionTrue_vix35,100,200,50,75,25,SHY,0,True,35.0,4939131.62,105.0,-36.7,1.094,2.8614,399,15.1,4939231622.17
SMA100_200_RSI50_UPRO75_cash_delay0_cautionTrue_vix35,100,200,50,75,25,cash,0,True,35.0,4620037.4,104.09,-36.33,1.0883,2.8653,399,15.1,4620137402.06
SMA100_200_RSI45_UPRO75_TLT_delay2_cautionTrue_vix35,100,200,45,75,25,TLT,2,True,35.0,4669991.08,104.24,-66.79,1.0852,1.5607,308,15.1,4670091084.31
