variant_name,sma_fast,sma_slow,rsi_entry,upro_pct,tqqq_pct,defensive,confirm_days,bull_caution,vix_kill,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,calmar,transitions,best_year,worst_year,year_2022_return
SMA100_200_RSI45_U75T25_SHY_C0_BC,100,200,45,75,25,SHY,0,True,False,12.76,2.02,0.2852,0.2524,-70.98,0.0285,207,2023: +61.80%,2022: -67.79%,-67.79
SMA50_200_RSI35_U100T0_SHY_C0_noBC,50,200,35,100,0,SHY,0,False,False,13.32,2.11,0.2828,0.2542,-76.15,0.0277,35,2021: +101.96%,2022: -70.82%,-70.82
SMA100_200_RSI40_U100T0_SHY_C2_BC_VIX35,100,200,40,100,0,SHY,2,True,35,13.52,2.14,0.2828,0.2508,-69.33,0.0308,67,2021: +87.04%,2022: -65.27%,-65.27
SMA50_200_RSI35_U75T25_CASH_C2_BC,50,200,35,75,25,CASH,2,True,False,9.85,1.58,0.2825,0.2356,-74.66,0.0212,152,2021: +92.44%,2022: -69.78%,-69.78
SMA100_200_RSI40_U100T0_CASH_C0_BC_VIX35,100,200,40,100,0,CASH,0,True,35,12.48,1.98,0.2787,0.2244,-69.3,0.0286,66,2021: +87.00%,2022: -64.48%,-64.48
SMA100_200_RSI40_U100T0_SHY_C0_BC_VIX35,100,200,40,100,0,SHY,0,True,35,11.75,1.87,0.276,0.2448,-69.33,0.027,66,2021: +87.04%,2022: -65.27%,-65.27
SMA100_200_RSI35_U100T0_TLT_C2_noBC_VIX35,100,200,35,100,0,TLT,2,False,35,10.6,1.7,0.2756,0.2615,-73.12,0.0232,42,2021: +93.32%,2022: -71.08%,-71.08
SMA50_200_RSI35_U75T25_CASH_C0_BC,50,200,35,75,25,CASH,0,True,False,7.45,1.21,0.2738,0.2286,-74.66,0.0162,152,2021: +92.44%,2022: -69.78%,-69.78
SMA100_200_RSI40_U75T25_TLT_C2_BC,100,200,40,75,25,TLT,2,True,False,6.96,1.13,0.2735,0.2617,-74.33,0.0152,176,2021: +86.35%,2022: -72.33%,-72.33
SMA100_200_RSI35_U100T0_TLT_C0_noBC_VIX35,100,200,35,100,0,TLT,0,False,35,9.3,1.5,0.2707,0.2569,-73.12,0.0205,41,2021: +93.32%,2022: -71.08%,-71.08
SMA100_200_RSI50_U75T25_CASH_C2_BC,100,200,50,75,25,CASH,2,True,False,10.89,1.74,0.269,0.2139,-67.57,0.0257,231,2023: +40.49%,2022: -62.75%,-62.75
SMA50_200_RSI35_U75T25_SHY_C2_BC,50,200,35,75,25,SHY,2,True,False,6.1,0.99,0.2688,0.2455,-75.45,0.0132,153,2021: +92.42%,2022: -70.87%,-70.87
SMA100_200_RSI40_U75T25_TLT_C0_BC,100,200,40,75,25,TLT,0,True,False,5.36,0.88,0.2676,0.2561,-74.33,0.0118,175,2021: +86.35%,2022: -72.33%,-72.33
SMA100_200_RSI50_U75T25_SHY_C2_BC,100,200,50,75,25,SHY,2,True,False,10.14,1.62,0.266,0.2341,-67.78,0.024,232,2023: +42.02%,2022: -63.73%,-63.73
SMA50_200_RSI35_U75T25_SHY_C0_BC,50,200,35,75,25,SHY,0,True,False,4.11,0.67,0.2613,0.2388,-75.45,0.0089,152,2021: +92.42%,2022: -70.87%,-70.87
SMA100_200_RSI35_U75T25_TLT_C2_noBC,100,200,35,75,25,TLT,2,False,False,3.36,0.55,0.2606,0.2495,-75.86,0.0073,150,2021: +90.94%,2022: -73.98%,-73.98
SMA100_200_RSI50_U75T25_CASH_C0_BC,100,200,50,75,25,CASH,0,True,False,8.46,1.37,0.2591,0.2062,-67.57,0.0202,231,2023: +40.49%,2022: -62.75%,-62.75
SMA100_200_RSI50_U75T25_SHY_C0_BC,100,200,50,75,25,SHY,0,True,False,8.07,1.3,0.2575,0.2267,-67.78,0.0192,231,2023: +42.02%,2022: -63.73%,-63.73
SMA100_200_RSI35_U75T25_CASH_C2_BC_VIX35,100,200,35,75,25,CASH,2,True,35,2.69,0.44,0.2551,0.2095,-72.88,0.0061,157,2021: +83.37%,2022: -67.54%,-67.54
SMA100_200_RSI35_U75T25_TLT_C0_noBC,100,200,35,75,25,TLT,0,False,False,1.81,0.3,0.2548,0.2439,-75.86,0.004,149,2021: +90.94%,2022: -73.98%,-73.98
SMA100_200_RSI35_U75T25_SHY_C2_BC_VIX35,100,200,35,75,25,SHY,2,True,35,1.85,0.31,0.2519,0.2272,-72.87,0.0042,158,2021: +83.35%,2022: -68.23%,-68.23
SMA100_200_RSI35_U75T25_CASH_C2_noBC_VIX35,100,200,35,75,25,CASH,2,False,35,1.98,0.33,0.2508,0.203,-73.75,0.0044,155,2021: +80.76%,2022: -68.59%,-68.59
SMA100_200_RSI35_U75T25_SHY_C2_noBC_VIX35,100,200,35,75,25,SHY,2,False,35,1.2,0.2,0.2478,0.2225,-73.73,0.0027,158,2021: +80.72%,2022: -69.24%,-69.24
SMA100_200_RSI35_U75T25_CASH_C0_BC_VIX35,100,200,35,75,25,CASH,0,True,35,0.45,0.07,0.2463,0.2026,-72.88,0.001,157,2021: +83.37%,2022: -67.54%,-67.54
SMA50_200_RSI35_U100T0_TLT_C2_BC,50,200,35,100,0,TLT,2,True,False,2.47,0.41,0.2462,0.2373,-79.59,0.0051,36,2021: +105.57%,2022: -76.10%,-76.1
SMA100_200_RSI35_U75T25_SHY_C0_BC_VIX35,100,200,35,75,25,SHY,0,True,35,-0.06,-0.01,0.2444,0.2205,-72.87,-0.0001,157,2021: +83.35%,2022: -68.23%,-68.23
SMA100_200_RSI35_U75T25_CASH_C0_noBC_VIX35,100,200,35,75,25,CASH,0,False,35,-0.25,-0.04,0.2419,0.1961,-73.75,-0.0006,155,2021: +80.76%,2022: -68.59%,-68.59
SMA50_200_RSI35_U100T0_TLT_C0_BC,50,200,35,100,0,TLT,0,True,False,1.27,0.21,0.2413,0.2327,-79.59,0.0026,35,2021: +105.57%,2022: -76.10%,-76.1
SMA100_200_RSI45_U100T0_CASH_C2_BC_VIX35,100,200,45,100,0,CASH,2,True,35,4.61,0.76,0.2405,0.1887,-69.54,0.0109,99,2021: +54.88%,2022: -65.42%,-65.42
SMA100_200_RSI35_U75T25_SHY_C0_noBC_VIX35,100,200,35,75,25,SHY,0,False,35,-0.71,-0.12,0.2402,0.2157,-73.73,-0.0016,157,2021: +80.72%,2022: -69.24%,-69.24
SMA50_200_RSI45_U100T0_CASH_C2_BC,50,200,45,100,0,CASH,2,True,False,3.03,0.5,0.2357,0.1896,-73.57,0.0068,94,2021: +58.88%,2022: -66.54%,-66.54
SMA50_200_RSI40_U75T25_CASH_C2_BC,50,200,40,75,25,CASH,2,True,False,-1.64,-0.28,0.2349,0.1932,-73.49,-0.0037,176,2021: +85.70%,2022: -68.89%,-68.89
SMA100_200_RSI45_U100T0_SHY_C2_BC_VIX35,100,200,45,100,0,SHY,2,True,35,3.19,0.53,0.2344,0.2034,-69.78,0.0075,100,2023: +56.49%,2022: -66.42%,-66.42
SMA50_200_RSI35_U100T0_CASH_C2_BC_VIX35,50,200,35,100,0,CASH,2,True,35,0.92,0.15,0.2335,0.1907,-74.04,0.0021,41,2021: +94.84%,2022: -68.70%,-68.7
SMA100_200_RSI45_U100T0_CASH_C0_BC_VIX35,100,200,45,100,0,CASH,0,True,35,2.66,0.44,0.2319,0.1822,-69.54,0.0063,99,2021: +54.88%,2022: -65.42%,-65.42
