strategy,etf,ifa_score,sharpe,total_return_pct,cagr_pct,max_drawdown_pct,calmar,sortino,win_rate,total_trades,profit_factor,avg_trade_pct,avg_win,avg_loss,avg_bars_held,passes_gates,final_capital,data_source
SMA100_RSI_35_65,GLD,0.2424,0.517,12.65,2.09,4.56,0.458,0.154,100.0,3,0.0,4.22,4218.14,0.0,32.7,False,112654.42,databento
EMA_5_13_ADX25,QQQ,0.2422,0.676,86.47,11.26,35.98,0.313,0.78,66.7,9,3.1,9.61,21272.07,-13722.3,116.0,False,186465.52,databento
MACD_12_26_9,UPRO,0.2418,0.567,127.33,15.1,39.16,0.385,0.622,43.1,65,1.43,1.96,15153.28,-8034.88,12.5,False,227001.14,databento
RSI_Bounce_25_55_ATR1.5,QQQ,0.2415,0.454,18.85,2.97,11.0,0.27,0.144,75.0,4,5.11,4.71,7811.8,-4585.27,6.0,False,118850.12,databento
RSI_Bounce_25_60_ATR1.5,QQQ,0.2415,0.454,18.85,2.97,11.0,0.27,0.144,75.0,4,5.11,4.71,7811.8,-4585.27,6.0,False,118850.12,databento
RSI_Bounce_25_65_ATR1.5,QQQ,0.2415,0.454,18.85,2.97,11.0,0.27,0.144,75.0,4,5.11,4.71,7811.8,-4585.27,6.0,False,118850.12,databento
RSI_Bounce_25_70_ATR1.5,QQQ,0.2415,0.454,18.85,2.97,11.0,0.27,0.144,75.0,4,5.11,4.71,7811.8,-4585.27,6.0,False,118850.12,databento
SMA100_RSI_35_70,SPY,0.241,0.614,11.21,1.86,6.14,0.303,0.227,66.7,3,5.53,3.74,6844.94,-2476.39,32.0,False,111213.5,databento
Bollinger_20_1.5,QQQ,0.2409,0.752,80.39,10.55,23.91,0.441,0.827,54.5,22,2.33,3.65,11732.94,-6040.9,42.7,True,180386.24,databento
RSI_Bounce_30_60_ATR2.0,SOXL,0.2408,0.59,191.04,19.85,53.42,0.372,0.49,66.7,9,2.17,21.23,59013.41,-54347.29,34.4,False,291038.62,databento
EMA_20_50_ADX15,SPY,0.2407,0.865,76.18,10.18,23.49,0.433,1.021,50.0,10,4.0,7.62,20252.98,-5068.42,113.0,True,175922.77,databento
EMA_12_26_ADX20,SPY,0.2406,0.608,49.26,7.1,26.41,0.269,0.668,72.7,11,2.93,4.48,9302.36,-8455.37,88.0,True,149052.77,databento
SMA200_RSI_45_70,GLD,0.2387,0.655,31.83,4.91,11.36,0.433,0.564,66.7,9,3.32,3.54,7590.75,-4571.21,52.0,False,131830.85,databento
RSI_Bounce_30_70_ATR2.5,TQQQ,0.2386,0.576,163.9,17.87,58.07,0.308,0.521,70.0,10,1.98,16.39,47147.97,-55505.03,41.2,True,263520.72,databento
