strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,win_rate_pct,num_trades,years,final_equity
SMA50_200_RSI45_UPRO100_SHY_delay2_cautionTrue_vixNone,50,200,45,100,0,SHY,2,True,,1898.99,55.09,-63.26,1.278,0.8708,46.8,127,6.8,1998991.57
SMA50_200_RSI45_UPRO100_cash_delay2_cautionTrue_vixNone,50,200,45,100,0,cash,2,True,,1895.1,55.05,-62.27,1.2768,0.884,46.8,127,6.8,1995099.25
SMA100_200_RSI40_UPRO75_SHY_delay2_cautionTrue_vix35,100,200,40,75,25,SHY,2,True,35.0,2157.59,57.88,-61.96,1.2697,0.9342,49.5,92,6.8,2257585.08
SMA50_200_RSI45_UPRO100_TLT_delay0_cautionTrue_vixNone,50,200,45,100,0,TLT,0,True,,1907.84,55.19,-71.45,1.2691,0.7724,48.4,127,6.8,2007842.73
SMA100_200_RSI40_UPRO75_cash_delay2_cautionTrue_vix35,100,200,40,75,25,cash,2,True,35.0,2125.81,57.55,-61.85,1.2654,0.9305,41.8,92,6.8,2225807.4
SMA100_200_RSI40_UPRO100_TLT_delay0_cautionTrue_vix35,100,200,40,100,0,TLT,0,True,35.0,1920.54,55.33,-63.97,1.2632,0.865,49.5,92,6.8,2020541.69
SMA50_200_RSI45_UPRO100_TLT_delay2_cautionTrue_vixNone,50,200,45,100,0,TLT,2,True,,1849.35,54.52,-70.56,1.2575,0.7726,48.4,127,6.8,1949348.58
SMA50_200_RSI45_UPRO75_SHY_delay0_cautionTrue_vixNone,50,200,45,75,25,SHY,0,True,,1970.72,55.89,-65.67,1.2449,0.8511,47.6,127,6.8,2070723.29
SMA50_200_RSI45_UPRO75_cash_delay0_cautionTrue_vixNone,50,200,45,75,25,cash,0,True,,1953.45,55.7,-64.6,1.2417,0.8623,46.8,127,6.8,2053449.24
SMA100_200_RSI40_UPRO75_TLT_delay2_cautionTrue_vix35,100,200,40,75,25,TLT,2,True,35.0,2109.16,57.38,-67.55,1.2403,0.8495,48.4,92,6.8,2209158.92
SMA100_200_RSI40_UPRO75_SHY_delay0_cautionTrue_vix35,100,200,40,75,25,SHY,0,True,35.0,1930.81,55.45,-61.96,1.2367,0.8949,48.4,92,6.8,2030806.35
SMA100_200_RSI40_UPRO75_cash_delay0_cautionTrue_vix35,100,200,40,75,25,cash,0,True,35.0,1920.11,55.33,-61.85,1.2353,0.8946,41.8,92,6.8,2020113.12
SMA50_200_RSI45_UPRO75_SHY_delay2_cautionTrue_vixNone,50,200,45,75,25,SHY,2,True,,1893.04,55.02,-65.04,1.231,0.846,46.8,127,6.8,1993040.5
SMA50_200_RSI45_UPRO75_cash_delay2_cautionTrue_vixNone,50,200,45,75,25,cash,2,True,,1889.25,54.98,-63.95,1.23,0.8598,46.8,127,6.8,1989250.46
SMA50_200_RSI45_UPRO75_TLT_delay0_cautionTrue_vixNone,50,200,45,75,25,TLT,0,True,,1929.79,55.44,-72.97,1.2282,0.7597,48.4,127,6.8,2029787.02
SMA50_200_RSI40_UPRO100_TLT_delay0_cautionTrue_vix35,50,200,40,100,0,TLT,0,True,35.0,1648.46,52.08,-70.01,1.2254,0.7439,49.4,84,6.8,1748455.66
SMA50_200_RSI40_UPRO75_SHY_delay0_cautionTrue_vix35,50,200,40,75,25,SHY,0,True,35.0,1786.12,53.77,-65.64,1.2241,0.8193,49.4,84,6.8,1886122.22
SMA50_200_RSI40_UPRO75_cash_delay0_cautionTrue_vix35,50,200,40,75,25,cash,0,True,35.0,1779.3,53.69,-64.57,1.2232,0.8316,43.4,84,6.8,1879295.68
SMA50_200_RSI45_UPRO75_TLT_delay2_cautionTrue_vixNone,50,200,45,75,25,TLT,2,True,,1843.91,54.46,-72.14,1.213,0.7549,48.4,127,6.8,1943912.81
SMA50_200_RSI40_UPRO100_TLT_delay2_cautionTrue_vix35,50,200,40,100,0,TLT,2,True,35.0,1583.68,51.24,-69.2,1.2127,0.7404,49.4,84,6.8,1683678.75
