strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,win_rate_pct,num_trades,years,final_equity
SMA50_200_RSI35_UPRO100_TLT_delay2_cautionTrue,50,200,35,100,0,TLT,2,True,207.87,24.32,-72.99,0.7377,0.3332,32.4,35,5.2,307865.59
SMA50_200_RSI35_UPRO75_cash_delay2_cautionTrue,50,200,35,75,25,cash,2,True,213.68,24.77,-68.99,0.7373,0.359,32.4,35,5.2,313684.95
SMA50_200_RSI35_UPRO100_TLT_delay0_cautionTrue,50,200,35,100,0,TLT,0,True,202.97,23.93,-74.43,0.7313,0.3215,35.3,35,5.2,302968.83
SMA50_200_RSI35_UPRO75_cash_delay0_cautionTrue,50,200,35,75,25,cash,0,True,207.45,24.28,-70.05,0.7296,0.3467,32.4,35,5.2,307451.69
SMA50_200_RSI35_UPRO75_SHY_delay2_cautionTrue,50,200,35,75,25,SHY,2,True,206.16,24.18,-69.83,0.7274,0.3463,32.4,35,5.2,306158.9
SMA50_200_RSI35_UPRO75_SHY_delay0_cautionTrue,50,200,35,75,25,SHY,0,True,201.87,23.84,-70.89,0.7221,0.3364,35.3,35,5.2,301871.24
SMA100_200_RSI40_UPRO100_cash_delay2_cautionFalse,100,200,40,100,0,cash,2,False,159.15,20.24,-69.29,0.6565,0.2921,25.0,5,5.2,259151.81
SMA100_200_RSI35_UPRO100_cash_delay2_cautionFalse,100,200,35,100,0,cash,2,False,159.15,20.24,-69.29,0.6565,0.2921,25.0,5,5.2,259151.81
SMA100_200_RSI45_UPRO100_cash_delay2_cautionFalse,100,200,45,100,0,cash,2,False,159.15,20.24,-69.29,0.6565,0.2921,25.0,5,5.2,259151.81
SMA100_200_RSI50_UPRO100_cash_delay2_cautionFalse,100,200,50,100,0,cash,2,False,159.15,20.24,-69.29,0.6565,0.2921,25.0,5,5.2,259151.81
SMA100_200_RSI45_UPRO100_SHY_delay2_cautionFalse,100,200,45,100,0,SHY,2,False,154.73,19.84,-69.91,0.6494,0.2838,50.0,5,5.2,254729.78
SMA100_200_RSI40_UPRO100_SHY_delay2_cautionFalse,100,200,40,100,0,SHY,2,False,154.73,19.84,-69.91,0.6494,0.2838,50.0,5,5.2,254729.78
SMA100_200_RSI50_UPRO100_SHY_delay2_cautionFalse,100,200,50,100,0,SHY,2,False,154.73,19.84,-69.91,0.6494,0.2838,50.0,5,5.2,254729.78
SMA100_200_RSI35_UPRO100_SHY_delay2_cautionFalse,100,200,35,100,0,SHY,2,False,154.73,19.84,-69.91,0.6494,0.2838,50.0,5,5.2,254729.78
SMA100_200_RSI35_UPRO100_cash_delay0_cautionFalse,100,200,35,100,0,cash,0,False,152.35,19.62,-69.89,0.6457,0.2807,50.0,5,5.2,252346.93
SMA100_200_RSI50_UPRO100_cash_delay0_cautionFalse,100,200,50,100,0,cash,0,False,152.35,19.62,-69.89,0.6457,0.2807,50.0,5,5.2,252346.93
SMA100_200_RSI45_UPRO100_cash_delay0_cautionFalse,100,200,45,100,0,cash,0,False,152.35,19.62,-69.89,0.6457,0.2807,50.0,5,5.2,252346.93
SMA100_200_RSI40_UPRO100_cash_delay0_cautionFalse,100,200,40,100,0,cash,0,False,152.35,19.62,-69.89,0.6457,0.2807,50.0,5,5.2,252346.93
SMA100_200_RSI45_UPRO100_SHY_delay0_cautionFalse,100,200,45,100,0,SHY,0,False,145.43,18.98,-70.84,0.6343,0.2679,75.0,5,5.2,245429.04
SMA100_200_RSI40_UPRO100_SHY_delay0_cautionFalse,100,200,40,100,0,SHY,0,False,145.43,18.98,-70.84,0.6343,0.2679,75.0,5,5.2,245429.04
SMA100_200_RSI35_UPRO100_SHY_delay0_cautionFalse,100,200,35,100,0,SHY,0,False,145.43,18.98,-70.84,0.6343,0.2679,75.0,5,5.2,245429.04
SMA100_200_RSI50_UPRO100_SHY_delay0_cautionFalse,100,200,50,100,0,SHY,0,False,145.43,18.98,-70.84,0.6343,0.2679,75.0,5,5.2,245429.04
SMA50_200_RSI35_UPRO75_TLT_delay2_cautionTrue,50,200,35,75,25,TLT,2,True,141.08,18.57,-74.43,0.6286,0.2495,35.3,35,5.2,241080.87
SMA50_200_RSI35_UPRO75_TLT_delay0_cautionTrue,50,200,35,75,25,TLT,0,True,137.71,18.25,-75.68,0.6232,0.2411,38.2,35,5.2,237707.97
