strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,num_trades,years,final_equity
SMA50_200_RSI40_UPRO75_SHY_delay2_cautionTrue_vix35,50,200,40,75,25,SHY,2,True,35.0,609.3,46.11,-65.0,1.095,0.7094,63,5.2,709302.84
SMA100_200_RSI40_UPRO75_cash_delay0_cautionTrue_vixNone,100,200,40,75,25,cash,0,True,,658.69,48.03,-62.36,1.0948,0.7702,63,5.2,758688.51
SMA50_200_RSI40_UPRO75_SHY_delay0_cautionTrue_vix35,50,200,40,75,25,SHY,0,True,35.0,606.8,46.01,-65.64,1.0937,0.701,63,5.2,706795.13
SMA100_200_RSI40_UPRO100_TLT_delay0_cautionTrue_vixNone,100,200,40,100,0,TLT,0,True,,602.6,45.84,-65.58,1.0918,0.6991,63,5.2,702601.93
SMA100_200_RSI40_UPRO75_cash_delay2_cautionTrue_vixNone,100,200,40,75,25,cash,2,True,,651.79,47.77,-62.36,1.09,0.766,63,5.2,751790.15
SMA100_200_RSI40_UPRO75_SHY_delay0_cautionTrue_vixNone,100,200,40,75,25,SHY,0,True,,644.97,47.51,-62.48,1.0872,0.7604,63,5.2,744969.92
SMA100_200_RSI40_UPRO75_SHY_delay2_cautionTrue_vixNone,100,200,40,75,25,SHY,2,True,,642.67,47.42,-62.48,1.0847,0.7589,63,5.2,742668.56
SMA50_200_RSI40_UPRO100_cash_delay2_cautionTrue_vixNone,50,200,40,100,0,cash,2,True,,502.84,41.59,-64.14,1.0493,0.6483,59,5.2,602844.78
SMA50_200_RSI40_UPRO100_cash_delay0_cautionTrue_vixNone,50,200,40,100,0,cash,0,True,,500.07,41.46,-64.93,1.0475,0.6385,59,5.2,600065.92
SMA50_200_RSI40_UPRO100_TLT_delay2_cautionTrue_vix35,50,200,40,100,0,TLT,2,True,35.0,488.39,40.92,-69.2,1.0452,0.5914,63,5.2,588386.3
SMA50_200_RSI40_UPRO100_TLT_delay0_cautionTrue_vix35,50,200,40,100,0,TLT,0,True,35.0,486.53,40.84,-70.01,1.0439,0.5833,63,5.2,586529.25
SMA50_200_RSI40_UPRO100_SHY_delay0_cautionTrue_vixNone,50,200,40,100,0,SHY,0,True,,489.46,40.97,-65.81,1.0393,0.6225,59,5.2,589464.98
SMA50_200_RSI40_UPRO100_SHY_delay2_cautionTrue_vixNone,50,200,40,100,0,SHY,2,True,,488.17,40.91,-65.05,1.038,0.6289,59,5.2,588170.62
SMA100_200_RSI40_UPRO75_TLT_delay2_cautionTrue_vixNone,100,200,40,75,25,TLT,2,True,,535.12,43.02,-69.06,1.015,0.623,63,5.2,635124.1
