date,step2_state,combined_state,vix,spy_close,spxu_close,svix_close,svix_available,spxu_shares,svix_shares,spxu_value,svix_value,cash,portfolio_value,allocation,data_source
2023-10-16,DEFENSIVE_SPY,DEFENSIVE_SPY,17.21,436.08,11.28,27.05,YES,0.0,0.0,0.0,0.0,298719.81,298719.81,0.0,databento
2023-10-17,DEFENSIVE_SPY,DEFENSIVE_SPY,17.88,435.05,11.36,26.27,YES,0.0,0.0,0.0,0.0,296759.5,296759.5,0.0,databento
2023-10-18,DEFENSIVE_SPY,DEFENSIVE_SPY,19.22,430.4,11.74,25.11,YES,0.0,0.0,0.0,0.0,290475.19,290475.19,0.0,databento
2023-10-19,DEFENSIVE_SPY,DEFENSIVE_SPY,21.4,425.79,12.14,23.5,YES,0.0,0.0,0.0,0.0,284348.19,284348.19,0.0,databento
2023-10-20,DEFENSIVE_BOTH,DEFENSIVE_BOTH,21.71,420.8,12.54,23.28,YES,0.0,0.0,0.0,0.0,279182.99,279182.99,0.0,databento
2023-10-23,CASH,CASH_IDLE,20.37,421.8,12.49,24.42,YES,0.0,0.0,0.0,0.0,279182.99,279182.99,0.0,databento
2023-10-24,CASH,CASH_IDLE,18.97,423.3,12.36,25.25,YES,0.0,0.0,0.0,0.0,279182.99,279182.99,0.0,databento
2023-10-25,SMA_RECOVERY,SMA_RECOVERY,20.19,415.72,13.03,23.27,YES,0.0,0.0,0.0,0.0,267726.46,267726.46,0.0,databento
2023-10-26,CASH,CASH_IDLE,20.68,414.86,13.12,23.91,YES,0.0,0.0,0.0,0.0,267726.46,267726.46,0.0,databento
2023-10-27,CASH,CASH_IDLE,21.27,410.38,13.54,22.87,YES,0.0,0.0,0.0,0.0,267726.46,267726.46,0.0,databento
2023-10-30,CASH,CASH_IDLE,19.75,415.15,13.09,24.39,YES,0.0,0.0,0.0,0.0,267726.46,267726.46,0.0,databento
2023-10-31,CASH,CASH_IDLE,18.14,417.35,12.91,25.78,YES,0.0,0.0,0.0,0.0,267726.46,267726.46,0.0,databento
2023-11-01,CASH,CASH_IDLE,16.87,423.6,12.33,27.01,YES,0.0,0.0,0.0,0.0,267726.46,267726.46,0.0,databento
2023-11-02,SMA_RECOVERY,SMA_RECOVERY,15.66,429.89,11.79,27.76,YES,0.0,0.0,0.0,0.0,275122.73,275122.73,0.0,databento
2023-11-03,BULL_100,BULL_100,14.91,435.27,11.36,28.7,YES,0.0,0.0,0.0,0.0,285690.3,285690.3,0.0,databento
2023-11-06,BULL_100,BULL_100,14.89,434.88,11.4,29.56,YES,0.0,0.0,0.0,0.0,285691.04,285691.04,0.0,databento
2023-11-07,BULL_100,BULL_100,14.81,436.76,11.25,29.76,YES,0.0,0.0,0.0,0.0,290644.18,290644.18,0.0,databento
2023-11-08,BULL_100,BULL_100,14.45,436.61,11.28,30.22,YES,0.0,0.0,0.0,0.0,290094.8,290094.8,0.0,databento
2023-11-09,BULL_100,BULL_100,15.29,433.63,11.53,29.08,YES,0.0,0.0,0.0,0.0,283788.63,283788.63,0.0,databento
