date,step2_state,step3_state,spy_close,vix,spxu_close,spxu_shares,spxu_value,cash,portfolio_value,data_source
2019-04-29,BULL_100,INACTIVE,293.87,13.11,28.33,0.0,0.0,90601.34,90601.34,polygon
2019-04-30,BULL_100,INACTIVE,294.02,13.12,27.94,0.0,0.0,90601.34,90601.34,polygon
2019-05-01,BULL_100,INACTIVE,291.81,14.8,28.92,0.0,0.0,90601.34,90601.34,polygon
2019-05-02,BULL_100,INACTIVE,291.18,14.42,29.0,0.0,0.0,90601.34,90601.34,polygon
2019-05-03,BULL_100,INACTIVE,294.03,12.87,28.22,0.0,0.0,90601.34,90601.34,polygon
2019-05-06,BULL_100,INACTIVE,292.82,15.44,29.01,0.0,0.0,90601.34,90601.34,polygon
2019-05-07,BULL_100,INACTIVE,287.93,19.32,29.91,0.0,0.0,90601.34,90601.34,polygon
2019-05-08,BULL_100,INACTIVE,287.53,19.4,29.99,0.0,0.0,90601.34,90601.34,polygon
2019-05-09,BULL_100,INACTIVE,286.66,19.1,30.41,0.0,0.0,90601.34,90601.34,polygon
2019-05-10,BULL_100,INACTIVE,288.1,16.04,29.82,0.0,0.0,90601.34,90601.34,polygon
2019-05-13,BULL_100,INACTIVE,280.86,20.55,32.5,0.0,0.0,90601.34,90601.34,polygon
2019-05-14,BULL_100,INACTIVE,283.4,18.06,31.22,0.0,0.0,90601.34,90601.34,polygon
2019-05-15,DEFENSIVE_BOTH,INACTIVE,285.06,16.44,30.84,0.0,0.0,90601.34,90601.34,polygon
2019-05-16,DEFENSIVE_BOTH,INACTIVE,287.7,15.29,29.98,0.0,0.0,90601.34,90601.34,polygon
2019-05-17,DEFENSIVE_SPY,INACTIVE,285.84,15.96,30.58,0.0,0.0,90601.34,90601.34,polygon
2019-05-20,DEFENSIVE_SPY,INACTIVE,283.95,16.31,30.92,0.0,0.0,90601.34,90601.34,polygon
2019-05-21,DEFENSIVE_BOTH,INACTIVE,286.51,14.95,30.38,0.0,0.0,90601.34,90601.34,polygon
2019-05-22,DEFENSIVE_BOTH,INACTIVE,285.63,14.75,30.75,0.0,0.0,90601.34,90601.34,polygon
2019-05-23,DEFENSIVE_BOTH,INACTIVE,282.14,16.92,31.81,0.0,0.0,90601.34,90601.34,polygon
2019-05-24,DEFENSIVE_BOTH,INACTIVE,282.78,15.85,31.48,0.0,0.0,90601.34,90601.34,polygon
2019-05-28,DEFENSIVE_BOTH,INACTIVE,280.15,17.5,32.39,0.0,0.0,90601.34,90601.34,polygon
2019-05-29,DEFENSIVE_BOTH,INACTIVE,278.27,17.9,33.09,0.0,0.0,90601.34,90601.34,polygon
2019-05-30,DEFENSIVE_BOTH,INACTIVE,279.03,17.3,33.7,0.0,0.0,90601.34,90601.34,polygon
2019-05-31,DEFENSIVE_BOTH,INACTIVE,275.27,18.71,34.35,0.0,0.0,90601.34,90601.34,polygon
