date,state,spy_close,upro_close,vix,shares_held,cash_held,portfolio_value,upro_allocation_pct,data_source
2012-05-17,DEFENSIVE,130.86,2.8133,24.49,14827.6587,47223.66,88938.31,46.9,polygon
2012-05-18,DEFENSIVE,129.74,2.7438,25.1,14827.6587,47223.66,87907.79,46.3,polygon
2012-05-21,DEFENSIVE,131.97,2.8875,22.01,14827.6587,47223.66,90038.53,47.6,polygon
2012-05-22,DEFENSIVE,132.2,2.8909,22.48,14827.6587,47223.66,90088.94,47.6,polygon
2012-05-23,DEFENSIVE,132.27,2.903,22.33,14827.6587,47223.66,90268.35,47.7,polygon
2012-05-24,DEFENSIVE,132.53,2.923,21.54,14827.6587,47223.66,90564.91,47.9,polygon
2012-05-25,DEFENSIVE,132.1,2.8967,21.76,14827.6587,47223.66,90174.94,47.6,polygon
2012-05-29,DEFENSIVE,133.7,2.9987,21.03,14827.6587,47223.66,91687.36,48.5,polygon
2012-05-30,DEFENSIVE,131.73,2.8667,24.14,14827.6587,47223.66,89730.11,47.4,polygon
2012-05-31,DEFENSIVE,131.47,2.8505,24.06,14827.6587,47223.66,89489.9,47.2,polygon
2012-06-01,DEFENSIVE,128.16,2.6342,26.66,14827.6587,47223.66,86282.68,45.3,polygon
2012-06-04,CASH,128.1,2.6334,26.12,0.0,86346.47,86346.47,0.0,polygon
2012-06-05,CASH,129.07,2.6842,24.68,0.0,86346.47,86346.47,0.0,polygon
2012-06-06,SMA_RECOVERY,131.97,2.8742,22.16,23587.6358,21436.3,89231.88,76.0,polygon
2012-06-07,BULL_100,132.05,2.873,21.72,30502.0072,869.61,88501.88,99.0,polygon
2012-06-08,BULL_100,133.1,2.9429,21.23,30502.0072,869.61,90633.97,99.0,polygon
2012-06-11,DEFENSIVE,131.41,2.8338,23.56,15395.1559,46338.1,89964.89,48.5,polygon
2012-06-12,DEFENSIVE,132.92,2.9342,22.09,15395.1559,46338.1,91510.56,49.4,polygon
2012-06-13,DEFENSIVE,132.07,2.8735,24.27,15395.1559,46338.1,90576.08,48.8,polygon
2012-06-14,DEFENSIVE,133.48,2.9659,21.68,15395.1559,46338.1,91998.59,49.6,polygon
2012-06-15,DEFENSIVE,134.14,3.0509,21.11,15395.1559,46338.1,93307.18,50.3,polygon
2012-06-18,DEFENSIVE,134.4,3.0696,18.32,15395.1559,46338.1,93595.07,50.5,polygon
2012-06-19,DEFENSIVE,135.7,3.1609,18.38,15395.1559,46338.1,95000.64,51.2,polygon
2012-06-20,DEFENSIVE,135.48,3.1434,17.24,15395.1559,46338.1,94731.23,51.1,polygon
2012-06-21,BULL_100,132.44,2.933,20.08,29773.6953,854.78,88181.02,99.0,polygon
2012-06-22,BULL_100,133.46,3.0,18.11,29773.6953,854.78,90175.86,99.1,polygon
2012-06-25,DEFENSIVE,131.32,2.8534,20.38,15033.8426,43615.77,86513.34,49.6,polygon
2012-06-26,DEFENSIVE,131.98,2.8996,19.72,15033.8426,43615.77,87207.9,50.0,polygon
2012-06-27,DEFENSIVE,133.17,2.9796,19.45,15033.8426,43615.77,88410.61,50.7,polygon
2012-06-28,DEFENSIVE,132.79,2.9517,19.71,15033.8426,43615.77,87991.16,50.4,polygon
2012-06-29,DEFENSIVE,136.1,3.1763,17.08,15033.8426,43615.77,91367.76,52.3,polygon
2012-07-02,DEFENSIVE,136.51,3.1992,16.8,15033.8426,43615.77,91712.04,52.4,polygon
2012-07-03,BULL_100,137.41,3.2638,16.66,28377.1327,829.17,93446.46,99.1,polygon
2012-07-05,BULL_100,136.79,3.218,17.5,28377.1327,829.17,92146.78,99.1,polygon
2012-07-06,BULL_100,135.49,3.1267,17.1,28377.1327,829.17,89555.95,99.1,polygon
2012-07-09,BULL_100,135.32,3.1171,17.98,28377.1327,829.17,89283.53,99.1,polygon
2012-07-10,BULL_100,134.14,3.0346,18.72,28377.1327,829.17,86942.42,99.0,polygon
2012-07-11,BULL_100,134.16,3.0334,17.95,28377.1327,829.17,86908.37,99.0,polygon
2012-07-12,BULL_100,133.51,2.9942,18.33,28377.1327,829.17,85795.98,99.0,polygon
